Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Хорионэпителиома диагнози учун ердамчи текшириш усли:,"Бачадонни диагностик кириш ,гистологик текширув","Бачадонни диагностик кириш ,гистологик текширув",гистеросальпингография,бачадоннизондлаш,лапароскопия,лапкратомия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Репродуктив ешда ДМК асосий давоси:,диагностик кириш,Умукувват терапия,диагностик кириш,симптоматик терапия,спазмолитик,еток режими,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гормонал дори препаратлари сананг:,"В .микрофоллин,эстроген-гестаген",.адренокортикотроп гормон,андроген,"В .микрофоллин,эстроген-гестаген",соматотропгормон,глюкокортикоид,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Климактерик даврда кон кетиш сабалари.:,"хавфли ,хавфсиз бачадон усмалари",гипотензив терапия,экстрагенитал каслликлар,"хавфли ,хавфсиз бачадон усмалари",.цервикал канл полипи,физиотерапия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Климактерик даврда ДМК даво усули:,"алохида диагностик кириш,гестагенлар, андрогенлар билан гормонтерапия",.физиотерапия,ЗГТ,химиотерапия,гомонтерапия,"алохида диагностик кириш,гестагенлар, андрогенлар билан гормонтерапия",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кин микрофлорасига таъсир килувчи фктор:,"химик,термик","химик,термик",механик,лактация,экстрагенитал касалликлар,буйрак усти бези касалликлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ички жинсий ахзоларга инфекция таркалиш йули:,гематоген,гематоген,ликвороген,инраканаликуляр,лимфоген,хаво-томяи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вульвит асосий белгиси:,"кизиш,кичишиш,огрик",гиперполименорея,тук рангли конли ажрадмалар,"кизиш,кичишиш,огрик",опсоменорея,хайз цикли бузилиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вульвит асосий давоси:,"Сабабини йукотиш,асосий касллик давоси",. гиперполименорея,ички жинсий ъзолар яллигланиш касаллиги давоси,оператив даво,"Сабабини йукотиш,асосий касллик давоси",ЖКТ функцияси регуляцияси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кольпит келтириб чикарувчи микрооргганизм,трихомонада,А .Кох таекчаси,коккли флора,кук йирингли тайекча,трихомонада,герпес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кольпитда асосий шикоят:,"йирингли -сероз ажралмалар,кинда огирлик хисси",корин пастида дардсимон огрик,кизиш,куп хайз кони,микрорагия,"йирингли -сероз ажралмалар,кинда огирлик хисси",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Цервицитга сабабчи фактор:,кольпит,кольпит,Б сальпингоофорит,Бачадон буйни варикози,б\буйни чандикли узгариши,хеч кайси.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Сурункали эндометрит  давоси:,Тухумдон функцияси коррекцияси,Тухумдон функцияси коррекцияси,физиотерапия,б\ичи инстилляциялари,антибиотиклар,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Гонококк кайси сохаларда жойлашади?,"уретра ,цервикал канал",бачадон,"уретра ,цервикал канал",кин,тухумдон,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жинсий аъзолар сили формасини сананг:,"эксудатив,продуктив,пролифератив",сурункали,"Б, сероз","эксудатив,продуктив,пролифератив",уткир,уткир ости,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Туберкулинли пробаларни айтинг:,"Пирке,Манту",Борде0жангу р-яси,тимолли проба,Шиллер реакцияси,"Пирке,Манту",Хедельсон р-яси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жинсий аъзолар сили асосий даво усули:,"умукувват терапия,рационал овкатланиш",стимулловчи яллигланишга карши терапия,базал харорат улчаш,еток режими,умумий ва махаллий даво,"умукувват терапия,рационал овкатланиш",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Специфик микрофлрани кузгатиш учун :,"физиологик,биологик","физиологик,биологик",хеч кайси,б\буйнига протагландин юбориш,корин пастига УВЧ,уретрага 1%протаргол суриш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б\миомалари асосий белгилари:,"гиперполименорея,огрик","бош огриги,кусиш","гиперполименорея,огрик",аменорея,"Г,метрорагия,дизурия",опсоменорея,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б\миомаси турлари:,"субмукоз,субсероз",аралаш,"тухумдон,кортикал","субмукоз,субсероз",интралигаментар,б\буйни миомалари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б\миомалари асоратлари:,"миоматоз тугун некрози,субсероз тугун кон айланиши бузилиши,малигнизация",жигар функцияси бузилиши,"опсоменорея,пенетрация","полименорея,тугун тромбози","миоматоз тугун некрози,субсероз тугун кон айланиши бузилиши,малигнизация",гипоменолрея,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Оддий целиоэпителиал сероз кистомаларга хос белги,корин пастида огрик корин хажми ортиши,бир томонлама жойлашув,икктомонлама жойлашув,кичик улчамдаги усмалар,дисменорея,корин пастида огрик корин хажми ортиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Жинсий аъзолар даво усули:,"сурункали жараен провакацияси,хайздан кейин даволашни бошлаш","сурункали жараен провакацияси,хайздан кейин даволашни бошлаш",4дан ортик антибиотиклар куллаш,хайзга боглик булмаган холда давони бошлаш,микроорганизмни антибиотикларга сезувчанлигини аниклаш,даволашни врачга мурожаат килгач бошлаш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Биостимуляторлар кай вактда кулланилади:,ремисся вактида,провакация билан параллел,ремисся вактида,антибиотиклар бирга,кузгалиш вактида,ахамияти йук,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Яллигланиш жараенида физиотерапия качон кулланилади:,яллигланиш белгилари кетгач.антибиотиклар куллаб булгач,антибиотиклар  билан бирга,ЭЧТ 24ммсоатига булса,яллигланиш белгилари кетгач.антибиотиклар куллаб булгач,ЭЧТ 5мм,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон ретрофлексиясига сабаб:,"Д орка параметрит,тугрукдан кейинги инфекциялар билан асоратланган",эгизак хомила,Бирламчи бепуштлик,хайз цикли бузилиши,хеч кайси,"Д орка параметрит,тугрукдан кейинги инфекциялар билан асоратланган",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кистомалар хирургик оегчасига киради:,"воронка-чанок,кенг бачадон бойлами","воронка-чанок,кенг бачадон бойлами",юмалок бачадон бойлам,кардинал бойлам,ков-бачадон бойлами,хеч кйси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б\буйнм эрозиясида кууанилади:,"ваготил билан куйдириш,криотерапия,мазли тампонлар",.корин пастига диатермия,"ваготил билан куйдириш,криотерапия,мазли тампонлар",аналгетик,спазмолитик,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Тератоид усмалар хосил булади:,"эктодерма ,эндодерма",гранулез хужайрадан,текомадан,тухудон тека хужайраларидан,"эктодерма ,эндодерма",тухумдон бириктирувчи тукимасидан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хомила тушишига сабаб:,"жинсий аъзолар етилмаганлиги,яллигланиш касалликлари",жинсий аъзолар нотулик шаклланиши,организм каршилиги кучайиши,аклий мехнат билан шугулланиш,варикоз касаллиги,"жинсий аъзолар етилмаганлиги,яллигланиш касалликлари",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хомила тушиш боскичлари,"хавф солувчи ,бошланган","хавф солувчи ,бошланган","соратланган,инфицирлнган",сурункали аборт,септик борт,уткир аборт,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хомила тушиш хавфи белгилари:,корин пастида огрик,"тана харорати кутарилиш,пульс тезлаши",корин пастида огрик,"иштахасизлик,кунгил айниш кусиш",б\консистенцияси узгариши,вакти билан ажралмалар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эндометриоз диагностикаси:,Гистеросальпингография,кин суртмаси,УЗД,Гистеросальпингография,орка гумбаз пункцияси,операция вактида аникланади,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Хомила тушиш хавфида асосий даво усули:,"тинчлик,спазмолитик",эстоген -гестаген,"антибиотик,гормон",яллигланишга карши препаратлар,"тинчлик,спазмолитик",эркин режим,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бошланган хомила тушишида двао:,"тинчлик,спазмолитк,гемостатик",гестаген,"утеротоник,спазмолитк",гипотензив,эркин режим,"тинчлик,спазмолитк,гемостатик",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Йулдаги аборт давоси:,"б\бушлигини кириш,утеротониклар","б\бушлигини кириш,утеротониклар","тинчлик ,гормон",спазмолитик,яллигланишга карши препаратлар,бимануал куриш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Б\бушлигини кириш этаплари:,"кузгуларда б\буйни очиш,пулевкага олиш.",муддатдан аввалги хомиладорлик профилактикаси,"кузгуларда б\буйни очиш,пулевкага олиш.",пулевкага орка гумбаз олиш,бимануал текшириш,кин кузгуларида куриш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
